PERSON_ID,DISPLAY_FIRST_LAST,TEAM_NAME
203082,Terrence Ross,Magic
1626179,Terry Rozier,Hornets
201937,Ricky Rubio,Pacers
1626156,D'Angelo Russell,Timberwolves
1630346,Matt Ryan,Celtics
1627734,Domantas Sabonis,Kings
203967,Dario Saric,Suns
203107,Tomas Satoransky,Wizards
1630648,Jordan Schakel,Wizards
1629678,Admiral Schofield,Magic
203471,Dennis Schroder,Rockets
1630206,Jay Scrubb,Clippers
1630578,Alperen Sengun,Rockets
1629012,Collin Sexton,Cavaliers
1629013,Landry Shamet,Suns
1630549,Day'Ron Sharpe,Nets
1627783,Pascal Siakam,Raptors
1627732,Ben Simmons,Nets
1630250,Marko Simonovic,Bulls
1629014,Anfernee Simons,Trail Blazers
1630579,Jericho Sims,Knicks
1630606,Javonte Smart,Heat
203935,Marcus Smart,Celtics
202397,Ish Smith,Wizards
1630188,Jalen Smith,Pacers
1630270,Xavier Sneed,Jazz
203503,Tony Snell,Pelicans
1630531,Jaden Springer,76ers
203917,Nik Stauskas,Celtics
202362,Lance Stephenson,Pacers
1630205,Lamar Stevens,Cavaliers
1630191,Isaiah Stewart,Pistons
1629622,Max Strus,Heat
1630591,Jalen Suggs,Magic
1630256,Jae'Sean Tate,Rockets
1628369,Jayson Tatum,Celtics
1630678,Terry Taylor,Pacers
202066,Garrett Temple,Pelicans
1630179,Tyrell Terry,Grizzlies
1628464,Daniel Theis,Celtics
1630271,Brodric Thomas,Celtics
1630560,Cam Thomas,Nets
202738,Isaiah Thomas,Hornets
1629744,Matt Thomas,Bulls
202691,Klay Thompson,Warriors
202684,Tristan Thompson,Bulls
1630550,JT Thor,Hornets
1629680,Matisse Thybulle,76ers
1629681,Killian Tillie,Grizzlies
1630214,Xavier Tillman,Grizzlies
1630225,Isaiah Todd,Wizards
1630167,Obi Toppin,Knicks
1629308,Juan Toscano-Anderson,Warriors
1626157,Karl-Anthony Towns,Timberwolves
1629018,Gary Trent Jr.,Raptors
200782,P.J. Tucker,Heat
1629730,Rayjon Tucker,Bucks
1626167,Myles Turner,Pacers
202685,Jonas Valanciunas,Pelicans
1627832,Fred VanVleet,Raptors
1629020,Jarred Vanderbilt,Timberwolves
1630170,Devin Vassell,Spurs
1630492,Luca Vildoza,Bucks
1629216,Gabe Vincent,Heat
202696,Nikola Vucevic,Bulls
1629731,Dean Wade,Cavaliers
1630532,Franz Wagner,Magic
1629021,Moritz Wagner,Magic
1630688,Ish Wainright,Suns
202689,Kemba Walker,Knicks
1629022,Lonnie Walker IV,Spurs
202322,John Wall,Rockets
203933,T.J. Warren,Pacers
1629023,P.J. Washington,Hornets
1630613,Duane Washington Jr.,Pacers
1629139,Yuta Watanabe,Raptors
1630322,Lindy Waters III,Thunder
1630570,Trendon Watford,Trail Blazers
1629683,Quinndary Weatherspoon,Warriors
201566,Russell Westbrook,Lakers
1629632,Coby White,Bulls
1628401,Derrick White,Celtics
202355,Hassan Whiteside,Jazz
1630580,Joe Wieskamp,Spurs
1630598,Aaron Wiggins,Thunder
203952,Andrew Wiggins,Warriors
1629623,Lindell Wigginton,Bucks
1630314,Brandon Williams,Trail Blazers
1629684,Grant Williams,Celtics
1629026,Kenrich Williams,Thunder
101150,Lou Williams,Hawks
1630172,Patrick Williams,Bulls
1630533,Ziaire Williams,Grizzlies
1629057,Robert Williams III,Celtics
1629627,Zion Williamson,Pelicans
1629685,Dylan Windler,Cavaliers
1626159,Justise Winslow,Trail Blazers
1630216,Cassius Winston,Wizards
1630164,James Wiseman,Warriors
1626174,Christian Wood,Rockets
1630218,Robert Woodard II,Spurs
1626153,Delon Wright,Hawks
1630589,Moses Wright,Mavericks
1630593,McKinley Wright IV,Timberwolves
1628221,Gabe York,Pacers
201152,Thaddeus Young,Raptors
1629027,Trae Young,Hawks
1630209,Omer Yurtseven,Heat
1627826,Ivica Zubac,Clippers
