PLAYER_NAME,SALARY
Aaron Wiggins,"$1,000,000"
Andrew Wiggins,"$31,579,390"
Lindell Wigginton,
Brandon Williams,
Grant Williams,"$2,617,800"
Kenrich Williams,"$2,000,000"
Lou Williams,"$5,000,000"
Patrick Williams,"$7,422,000"
Ziaire Williams,"$4,373,160"
Robert Williams III,
Zion Williamson,"$10,733,400"
Dylan Windler,"$2,239,200"
Justise Winslow,"$3,902,439"
Cassius Winston,
James Wiseman,"$9,166,800"
Christian Wood,"$13,666,667"
Robert Woodard II,"$1,517,981"
Delon Wright,"$8,526,316"
Moses Wright,
McKinley Wright IV,
Gabe York,
Thaddeus Young,"$14,190,000"
Trae Young,"$8,326,471"
Omer Yurtseven,"$1,489,065"
Ivica Zubac,"$7,518,518"
